date,year,month,season,mei
2021-07-01,2021,7,JJ,-1.44
2021-08-01,2021,8,JA,-1.29
2021-09-01,2021,9,AS,-1.37
2021-10-01,2021,10,SO,-1.46
2021-11-01,2021,11,ON,-1.39
2021-12-01,2021,12,ND,-1.2
2022-01-01,2022,1,DJ,-1.01
2022-02-01,2022,2,JF,-0.98
2022-03-01,2022,3,FM,-1.31
2022-04-01,2022,4,MA,-1.6
2022-05-01,2022,5,AM,-1.63
2022-06-01,2022,6,MJ,-1.9
2022-07-01,2022,7,JJ,-2.17
2022-08-01,2022,8,JA,-1.75
2022-09-01,2022,9,AS,-1.73
2022-10-01,2022,10,SO,-1.72
2022-11-01,2022,11,ON,-1.53
2022-12-01,2022,12,ND,-1.27
2023-01-01,2023,1,DJ,-1.11
2023-02-01,2023,2,JF,-0.91
2023-03-01,2023,3,FM,-0.76
2023-04-01,2023,4,MA,-0.36
2023-05-01,2023,5,AM,-0.06
2023-06-01,2023,6,MJ,0.43
2023-07-01,2023,7,JJ,0.51
2023-08-01,2023,8,JA,0.51
2023-09-01,2023,9,AS,0.69
2023-10-01,2023,10,SO,0.48
2023-11-01,2023,11,ON,0.91
2023-12-01,2023,12,ND,1.13
2024-01-01,2024,1,DJ,0.7
2024-02-01,2024,2,JF,0.68
2024-03-01,2024,3,FM,0.78
2024-04-01,2024,4,MA,0.34
2024-05-01,2024,5,AM,0.12
2024-06-01,2024,6,MJ,-0.24
2024-07-01,2024,7,JJ,-0.72
2024-08-01,2024,8,JA,-0.73
2024-09-01,2024,9,AS,-0.65
2024-10-01,2024,10,SO,-0.51
2024-11-01,2024,11,ON,-0.68
2024-12-01,2024,12,ND,-0.91
2025-01-01,2025,1,DJ,-1.0
2025-02-01,2025,2,JF,-0.83
2025-03-01,2025,3,FM,-0.68
2025-04-01,2025,4,MA,-0.38
2025-05-01,2025,5,AM,-0.36
2025-06-01,2025,6,MJ,-1.17
2025-07-01,2025,7,JJ,-1.22
2025-08-01,2025,8,JA,-0.87
2025-09-01,2025,9,AS,-1.12
2025-10-01,2025,10,SO,-1.19
2025-11-01,2025,11,ON,-1.06
2025-12-01,2025,12,ND,-0.77
2026-01-01,2026,1,DJ,-0.76
2026-02-01,2026,2,JF,-0.95
2026-03-01,2026,3,FM,-1.03
2026-04-01,2026,4,MA,-0.64
2026-05-01,2026,5,AM,0.27
2026-06-01,2026,6,MJ,1.52
2026-07-01,2026,7,JJ,2.41
